tweets,category,dates,address,newaddress,lattitude,longitude,coordinates
"SUSPICIOUS SUBJ, VEH, OR CIRCUMSTANCE at 3900 SE POWELL BLVD, PORT [Portland Police #PP21000360133] 17:25 #pdx911, 2021-12-28 01:51:02+00:00","SUSPICIOUS SUBJ, VEH, OR CIRCUMSTANCE ", 2021-12-28 01:51:02+00:00, 3900 SE POWELL BLVD," 3900 SE POWELL BLVD, Portland, OR",45.497258,-122.622416,"-122.622416, 45.497258"
"SUSPICIOUS SUBJ, VEH, OR CIRCUMSTANCE at 2300 NE 142ND AVE, PORT [Portland Police #PP21000360185] 17:26 #pdx911, 2021-12-28 01:49:02+00:00","SUSPICIOUS SUBJ, VEH, OR CIRCUMSTANCE ", 2021-12-28 01:49:02+00:00, 2300 NE 142ND AVE," 2300 NE 142ND AVE, Portland, OR",45.53970382789508,-122.51595919250022,"-122.51595919250022, 45.53970382789508"
"ACCIDENT - UNKNOWN INJURY at 1100 N HAYDEN MEADOWS DR, PORT [Portland Police #PP21000360099] 16:24 #pdx911, 2021-12-28 01:41:01+00:00",ACCIDENT - UNKNOWN INJURY , 2021-12-28 01:41:01+00:00, 1100 N HAYDEN MEADOWS DR," 1100 N HAYDEN MEADOWS DR, Portland, OR",45.596008999999995,-122.67747968471082,"-122.67747968471082, 45.596008999999995"
"DISTURBANCE - PRIORITY at 300 SW MORRISON ST, PORT [Portland Police #PP21000360171] 17:06 #pdx911, 2021-12-28 01:37:02+00:00",DISTURBANCE - PRIORITY , 2021-12-28 01:37:02+00:00, 300 SW MORRISON ST," 300 SW MORRISON ST, Portland, OR",45.518216,-122.675741,"-122.675741, 45.518216"
"THEFT - COLD at 6600 SE MILWAUKIE AVE, PORT [Portland Police #PP21000360170] 17:09 #pdx911, 2021-12-28 01:31:02+00:00",THEFT - COLD , 2021-12-28 01:31:02+00:00, 6600 SE MILWAUKIE AVE," 6600 SE MILWAUKIE AVE, Portland, OR",45.475034,-122.648769,"-122.648769, 45.475034"
"THREAT - PRIORITY at 600 SE CESAR E CHAVEZ BLVD, PORT [Portland Police #PP21000360162] 16:55 #pdx911, 2021-12-28 01:23:02+00:00",THREAT - PRIORITY , 2021-12-28 01:23:02+00:00, 600 SE CESAR E CHAVEZ BLVD," 600 SE CESAR E CHAVEZ BLVD, Portland, OR",45.51860385,-122.62262440295534,"-122.62262440295534, 45.51860385"
"ACCIDENT - NON INJURY at 3900 NW DEVOTO LN, PORT [Portland Police #PP21000360165] 17:00 #pdx911, 2021-12-28 01:19:01+00:00",ACCIDENT - NON INJURY , 2021-12-28 01:19:01+00:00, 3900 NW DEVOTO LN," 3900 NW DEVOTO LN, Portland, OR",45.549833,-122.774368,"-122.774368, 45.549833"
"UNWANTED PERSON at 9400 NE CASCADES PKWY, PORT [Portland Police #PP21000360115] 16:16 #pdx911, 2021-12-28 01:13:02+00:00",UNWANTED PERSON , 2021-12-28 01:13:02+00:00, 9400 NE CASCADES PKWY," 9400 NE CASCADES PKWY, Portland, OR",45.57564,-122.566425,"-122.566425, 45.57564"
"THEFT - PRIORITY at 6200 NE 19TH AVE, PORT [Portland Police #PP21000360149] 16:48 #pdx911, 2021-12-28 01:13:01+00:00",THEFT - PRIORITY , 2021-12-28 01:13:01+00:00, 6200 NE 19TH AVE," 6200 NE 19TH AVE, Portland, OR",45.567745747474746,-122.64590795959596,"-122.64590795959596, 45.567745747474746"
"UNWANTED PERSON at 5400 SE MCLOUGHLIN BLVD, PORT [Portland Police #PP21000360134] 16:32 #pdx911, 2021-12-28 01:11:01+00:00",UNWANTED PERSON , 2021-12-28 01:11:01+00:00, 5400 SE MCLOUGHLIN BLVD," 5400 SE MCLOUGHLIN BLVD, Portland, OR",45.483084,-122.643162,"-122.643162, 45.483084"
